name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty,keep
12,Hinsdale Formation,37.2,-105.8,7,309.9,64.1,61,7.8,,52.1,193.6,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,shallow intrusive,dacite dike,Igneous:Intrusive,Volcanic Dike,Dacite,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,193.6056165,52.15615491,-64.1,129.9,-52.15615491,13.6056165,0.7,TRUE
13,Hinsdale Formation,37.1335928,-106.1435214,6,338.7,54.1,,,,72.6,162,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),k and a95 for this site are reported from Bingham statistics because site mean determined entirely from remagnetization circles (see paper for values).,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,162,72.6,-54.1,158.7,-72.6,342,0.7,TRUE
14,Hinsdale Formation,37.14868018,-106.0016973,7,323.4,59.7,,,,61.5,182.3,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),k and a95 for this site are reported from Bingham statistics because site mean determined entirely from remagnetization circles (see paper for values).,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,182.3,61.5,-59.7,143.4,-61.5,2.3,0.7,TRUE
15,Hinsdale Formation,37.24400257,-105.8591226,8,338,32.1,585,2.3,,62.3,124.4,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,124.4,62.3,-32.1,158,-62.3,304.4,0.7,TRUE
16,Hinsdale Formation,37.2,-105.7,7,293.5,60.6,,,,39.7,191.2,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,andesite,Igneous:Extrusive,Lava,Andesite,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),k and a95 for this site are reported from Bingham statistics because site mean determined entirely from remagnetization circles (see paper for values).,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,191.2234468,39.70657544,-60.6,113.5,-39.70657544,11.22344682,0.7,TRUE
21,Hinsdale Formation,37.14894864,-105.8647744,4,353.5,73.5,26,12.7,,67.4,245.5,,,,,26.05,25.7,1.8,26.4,1.2,uniform,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,AF-TH,1,1,N,0,,0,1,[],Brown and Golombek (1997),Thompson et al. (1991),,age based on range of 4 K-Ar ages; not updated from 1991 standards,10.1029/97GL00127:10.1029/91JB00068:10.1130/2013.2494(02),San_Luis_Hills_volcanics,245.5,67.4,-73.5,173.5,-67.4,65.5,0.7,TRUE
R1,Rhyolite flows and intrusives,36.9,-105.3,11,79.3,64.6,53,6.3,,32.5,308.1,,,,,26.695,25.17,0.04,28.22,0.05,uniform,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between Tetilla Peak Tuff Ar-Ar age (max age) and youngest postcaldera rhyoliate Ar-Ar age (min age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,308.0686197,32.52172167,-64.6,259.3,-32.52172167,128.0686197,3.05,TRUE
R2,Rhyolite flows and intrusives,36.84600827,-105.2341205,8,1.6,68.1,155,4.5,,75.6,258.8,,,,,26.695,25.17,0.04,28.22,0.05,uniform,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between Tetilla Peak Tuff Ar-Ar age (max age) and youngest postcaldera rhyoliate Ar-Ar age (min age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,258.8,75.6,-68.1,181.6,-75.6,78.8,3.05,TRUE
R3,Rhyolite flows and intrusives,37.92179761,-103.7795326,10,320.1,47.9,117,4.5,,55.8,163.1,,,,,26.695,25.17,0.04,28.22,0.05,uniform,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between Tetilla Peak Tuff Ar-Ar age (max age) and youngest postcaldera rhyoliate Ar-Ar age (min age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,163.1,55.8,-47.9,140.1,-55.8,343.1,3.05,TRUE
R4,Rhyolite flows and intrusives,37.5758588,-105.4976646,6,158.6,-31.6,33,11.8,,-62.2,302.9,,,,,26.695,25.17,0.04,28.22,0.05,uniform,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,AF-TH,0,1,,0,,0,1,[],Hagstrum and Lipman (1986),Zimmerer et al. (2012),,age range between Tetilla Peak Tuff Ar-Ar age (max age) and youngest postcaldera rhyoliate Ar-Ar age (min age),10.1029/JB091iB07p07383:10.1130/B30544.1,Latir_volcanic_field,302.9,-62.2,-31.6,158.6,-62.2,302.9,3.05,TRUE
